Transaction_ID,Items
1,"Milk, Diapers, Apple, Butter, Cereal"
2,"Diapers, Eggs, Banana, Milk"
3,"Cereal, Coffee, Eggs"
4,"Butter, Diapers, Coffee, Bread, Beer"
5,"Milk, Banana, Beer, Bread, Butter"
6,"Banana, Beer, Apple, Butter, Coffee"
7,"Butter, Diapers, Banana, Beer"
8,"Butter, Diapers"
9,"Apple, Diapers, Bread"
10,"Eggs, Apple, Bread"
11,"Cereal, Milk, Bread"
12,"Banana, Milk, Bread, Coffee"
13,"Apple, Beer, Milk, Diapers, Butter"
14,"Beer, Cereal, Apple"
15,"Butter, Eggs, Beer, Diapers"
16,"Beer, Apple, Coffee, Bread"
17,"Banana, Milk, Beer"
18,"Butter, Banana, Beer"
19,"Milk, Apple"
20,"Cereal, Apple, Eggs, Bread, Coffee"
21,"Diapers, Cereal, Coffee, Milk, Bread"
22,"Butter, Cereal, Diapers, Beer"
23,"Coffee, Butter"
24,"Milk, Bread, Diapers, Coffee, Banana"
25,"Apple, Butter"
26,"Apple, Milk"
27,"Coffee, Diapers"
28,"Coffee, Beer"
29,"Bread, Butter, Diapers"
30,"Apple, Beer"
31,"Bread, Cereal, Butter"
32,"Milk, Beer, Butter, Bread"
33,"Bread, Apple, Cereal, Eggs"
34,"Banana, Bread, Milk, Diapers, Butter"
35,"Beer, Diapers, Milk"
36,"Eggs, Coffee, Butter, Cereal, Diapers"
37,"Bread, Eggs"
38,"Butter, Coffee"
39,"Milk, Apple"
40,"Butter, Apple, Diapers"
41,"Bread, Cereal, Diapers, Butter, Coffee"
42,"Bread, Eggs, Apple, Butter, Cereal"
43,"Banana, Coffee, Apple, Cereal, Butter"
44,"Coffee, Milk"
45,"Butter, Beer, Banana, Apple"
46,"Bread, Cereal, Coffee, Beer"
47,"Diapers, Banana"
48,"Diapers, Milk"
49,"Beer, Bread"
50,"Diapers, Milk, Butter, Banana, Cereal"
51,"Beer, Butter, Cereal"
52,"Beer, Diapers"
53,"Coffee, Diapers, Milk, Butter"
54,"Apple, Bread, Butter"
55,"Diapers, Cereal, Banana, Apple"
56,"Butter, Beer, Coffee, Milk, Cereal"
57,"Milk, Butter"
58,"Apple, Butter, Milk"
59,"Beer, Banana, Apple, Cereal"
60,"Coffee, Butter, Bread, Diapers, Eggs"
61,"Eggs, Beer, Coffee"
62,"Apple, Banana, Bread, Cereal, Eggs"
63,"Beer, Banana, Eggs, Cereal"
64,"Beer, Milk, Butter, Bread"
65,"Butter, Bread, Apple, Eggs"
66,"Cereal, Beer, Diapers, Butter, Eggs"
67,"Beer, Butter"
68,"Eggs, Milk"
69,"Diapers, Coffee, Milk, Bread, Banana"
70,"Apple, Beer, Banana, Diapers"
71,"Coffee, Apple, Butter, Diapers"
72,"Cereal, Milk, Beer, Apple"
73,"Banana, Butter, Beer, Coffee, Cereal"
74,"Bread, Milk, Coffee, Beer, Eggs"
75,"Apple, Milk, Bread, Beer, Eggs"
76,"Cereal, Diapers, Beer"
77,"Beer, Milk, Banana, Cereal, Bread"
78,"Beer, Coffee, Diapers"
79,"Bread, Beer, Eggs"
80,"Beer, Diapers"
81,"Eggs, Diapers"
82,"Coffee, Diapers, Apple, Cereal, Beer"
83,"Diapers, Banana, Milk, Beer, Cereal"
84,"Banana, Beer"
85,"Banana, Milk, Butter, Eggs, Bread"
86,"Diapers, Apple"
87,"Eggs, Milk, Banana, Beer, Cereal"
88,"Beer, Coffee, Cereal, Eggs, Bread"
89,"Cereal, Coffee, Banana, Eggs"
90,"Apple, Banana"
91,"Milk, Butter, Beer, Diapers, Eggs"
92,"Diapers, Coffee, Apple, Beer, Cereal"
93,"Eggs, Butter, Bread"
94,"Eggs, Apple, Banana, Butter, Cereal"
95,"Milk, Bread"
96,"Diapers, Beer"
97,"Coffee, Diapers"
98,"Cereal, Milk"
99,"Cereal, Beer, Coffee"
100,"Eggs, Cereal, Banana, Beer, Butter"
101,"Butter, Beer, Eggs, Diapers"
102,"Banana, Beer"
103,"Beer, Bread, Butter"
104,"Coffee, Cereal, Butter, Eggs"
105,"Banana, Milk, Eggs"
106,"Bread, Eggs, Apple, Butter"
107,"Bread, Butter, Milk"
108,"Diapers, Cereal, Bread, Banana"
109,"Butter, Milk"
110,"Bread, Banana"
111,"Diapers, Milk"
112,"Apple, Diapers"
113,"Banana, Butter, Beer, Apple"
114,"Butter, Apple, Cereal, Milk"
115,"Eggs, Coffee"
116,"Butter, Banana, Cereal, Diapers, Milk"
117,"Bread, Beer, Apple, Cereal"
118,"Butter, Apple, Eggs"
119,"Bread, Coffee, Butter, Cereal, Diapers"
120,"Milk, Butter, Banana"
121,"Bread, Apple, Coffee, Butter, Cereal"
122,"Butter, Diapers"
123,"Butter, Beer, Eggs, Cereal, Coffee"
124,"Butter, Eggs"
125,"Diapers, Milk"
126,"Cereal, Banana, Apple, Bread, Diapers"
127,"Cereal, Apple, Banana"
128,"Eggs, Milk, Butter"
129,"Coffee, Diapers"
130,"Milk, Beer, Cereal"
131,"Milk, Eggs, Butter"
132,"Coffee, Butter"
133,"Banana, Beer"
134,"Butter, Apple, Eggs, Coffee, Diapers"
135,"Beer, Milk, Apple, Coffee, Bread"
136,"Beer, Eggs"
137,"Eggs, Banana"
138,"Coffee, Banana, Diapers"
139,"Diapers, Beer"
140,"Cereal, Coffee"
141,"Diapers, Beer, Butter"
142,"Cereal, Diapers"
143,"Butter, Bread, Diapers, Banana, Milk"
144,"Diapers, Eggs, Cereal, Beer"
145,"Eggs, Milk"
146,"Banana, Apple, Butter, Bread, Eggs"
147,"Apple, Bread, Cereal"
148,"Butter, Cereal, Milk"
149,"Coffee, Beer, Eggs"
150,"Beer, Cereal"
151,"Apple, Milk"
152,"Coffee, Apple, Eggs, Cereal, Milk"
153,"Banana, Bread, Eggs, Apple"
154,"Eggs, Coffee, Butter"
155,"Coffee, Milk, Cereal"
156,"Apple, Eggs, Banana, Diapers"
157,"Cereal, Coffee, Diapers, Butter, Banana"
158,"Diapers, Banana, Cereal, Coffee"
159,"Butter, Milk, Eggs"
160,"Diapers, Bread, Milk"
161,"Cereal, Butter, Milk"
162,"Milk, Diapers, Beer, Butter, Bread"
163,"Butter, Eggs, Diapers"
164,"Coffee, Eggs, Diapers, Apple, Bread"
165,"Banana, Diapers"
166,"Milk, Apple, Beer, Banana, Cereal"
167,"Eggs, Beer"
168,"Beer, Banana"
